번호,기업명,사업자번호,진단일,GCL점수,등급,유선컨설팅 신청여부,회원여부
4273,대한무역투자진흥공사,1*********,2025-11-07,100,A+,N,회원
4272,(주)우리아이들플러스,1*********,2025-11-05,59.49,C0,N,회원
4271,(주)스튜디오올,2*********,2025-10-30,66.3,B-,N,회원
4270,(주)성실엔지니어링,1*********,2025-10-28,64.74,C+,Y,회원
4269,(주)필코코스팜,1*********,2025-10-27,57.33,C-,N,회원
4268,(주)골드거래소,1*********,2025-10-22,61.9,C0,Y,회원
4267,서프컴퍼니,4*********,2025-10-22,54.13,D,N,회원
4266,블루웨이코퍼레이션,4*********,2025-10-15,69.88,B0,N,회원
4265,(주)이웃닷컴,1*********,2025-10-15,65.44,B-,Y,회원
4264,대한무역투자진흥공사,1*********,2025-10-15,100,A+,N,회원
4263,(주)지티웨이브,1*********,2025-10-13,68.66,B0,N,회원
4262,하이테크판넬(주),3*********,2025-10-10,64.41,C+,N,회원
4261,(주)우담라이팅,1*********,2025-09-29,53.89,D,N,회원
4260,(주)해우기술,6*********,2025-09-25,56.23,C-,N,회원
4259,(주)메드스타,1*********,2025-09-18,68.58,B0,N,회원
4258,라미랩 주식회사,7*********,2025-09-11,72.56,B+,Y,회원
4257,질마재푸드영농조합법인,4*********,2025-09-03,55.52,C-,Y,회원
4256,조일성업전기,1*********,2025-09-01,49.19,D,N,회원
4255,(주)로드맵마케팅컨설팅,1*********,2025-08-26,82.98,A+,Y,회원
4254,(주)정석산업,4*********,2025-08-22,46.73,D,N,회원
4253,모라포이노베이션스,3*********,2025-08-18,69.87,B0,Y,회원
4252,에코웨이브,1*********,2025-08-14,54.67,D,N,회원
4251,창영메디칼(주),7*********,2025-08-13,64.69,C+,N,회원
4250,(주)송연에스와이,4*********,2025-08-05,43.11,D,N,회원
4249,(주)모야인터내셔널,5*********,2025-08-04,68.12,B0,N,회원
4248,UB,6*********,2025-08-04,82.16,A+,N,회원
4247,스마트하다(주),6*********,2025-07-24,68.3,B0,Y,회원
4246,패션에이블,1*********,2025-07-18,45.44,D,Y,회원
4245,대한무역투자진흥공사,1*********,2025-07-13,52.84,D,N,회원
4244,대상 농업회사법인(주),7*********,2025-07-11,74.27,B+,Y,회원
4243,평창오미자영농조합법인,5*********,2025-07-10,48.19,D,Y,회원
4242,(주)포럭스인터내셔널,3*********,2025-07-09,70.07,B0,N,회원
4241,주식회사 콘텐츠그룹 아베끄,1*********,2025-07-09,80.83,A0,Y,회원
4240,(주)크리에이터버스,6*********,2025-07-08,67.17,B-,N,회원
4239,블루웨이코퍼레이션,4*********,2025-07-07,82.15,A+,N,회원
4238,(주)100케이션,4*********,2025-07-07,70.59,B0,N,회원
4237,(주)인테그리틱스,7*********,2025-07-07,82.42,A+,Y,회원
4236,(주)제이엔지,7*********,2025-07-07,52.71,D,N,회원
4235,한백종합상사,2*********,2025-07-07,76.26,A-,N,회원
4234,대상 농업회사법인(주),7*********,2025-07-07,74.4,B+,Y,회원
4233,(주)단미푸드,5*********,2025-07-07,57.17,C-,N,회원
4232,(주)세바바이오텍,2*********,2025-07-07,73.4,B+,Y,회원
4231,(주)소연메디칼,6*********,2025-07-07,72.54,B+,N,회원
4230,주식회사 콘텐츠그룹 아베끄,1*********,2025-07-06,67.96,B-,Y,회원
4229,농업회사법인주식회사양구친환경,2*********,2025-07-06,59.96,C0,N,회원
4228,(주)로지앤엘,1*********,2025-07-04,52.47,D,N,회원
4227,(주)미래경영연구소,5*********,2025-07-02,62.06,C+,N,회원
4226,디에프에이치코리아(주),7*********,2025-07-01,77.19,A-,Y,회원
4225,(주)더프레시에프앤비,1*********,2025-07-01,80.94,A0,Y,회원
4224,(주)해피시스,8*********,2025-06-30,59.72,C0,N,회원
4223,(주)레드버튼,2*********,2025-06-30,59.89,C0,N,회원
4222,(주)건풍바이오,6*********,2025-06-30,82.67,A+,N,회원
4221,미미살롱,5*********,2025-06-27,73.63,B+,Y,회원
4220,아이에스시스템 주식회사,7*********,2025-06-26,59.39,C0,N,회원
4219,아이에스시스템 주식회사,7*********,2025-06-26,63.61,C+,N,회원
4218,아이에스시스템 주식회사,7*********,2025-06-26,68.62,B0,N,회원
4217,제주향료연구소,4*********,2025-06-24,59.6,C0,Y,회원
4216,나물캐는곰협동조합,5*********,2025-06-24,63.84,C+,N,회원
4215,(주)아울바이오,7*********,2025-06-24,65.82,B-,N,회원
4214,(주)큐랩,1*********,2025-06-24,55.85,C-,N,회원
4213,데브디 주식회사,5*********,2025-06-23,73.95,B+,N,회원
4212,(주)옥두식품,1*********,2025-06-23,54.41,D,N,회원
4211,(주)티씨아이네트,2*********,2025-06-23,58.92,C0,N,회원
4210,(주)티씨아이네트,2*********,2025-06-23,63.29,C+,N,회원
4209,빌로우(BILLOW),1*********,2025-06-22,58.55,C0,Y,회원
4208,테스트기업명,8*********,2025-06-22,96.36,A+,N,회원
4207,(주)쎙코,1*********,2025-06-18,60.24,C0,N,회원
4206,(주)케이에스아이,4*********,2025-06-13,67.67,B-,Y,회원
4205,천지바이오,5*********,2025-06-12,46.13,D,Y,회원
4204,(주)한일디오전자,5*********,2025-06-10,51.39,D,N,회원
4203,동아폴리텍,1*********,2025-06-10,58.31,C0,N,회원
4202,(주)준컴퍼니,2*********,2025-06-09,61.21,C0,Y,회원
4201,로건(주),1*********,2025-06-05,58.51,C0,N,회원
4200,(주)보신,3*********,2025-06-05,64.61,C+,Y,회원
4199,머니가드서비스(주),1*********,2025-06-04,67.27,B-,Y,회원
4198,(주)크로스허브,6*********,2025-06-02,74.84,B+,N,회원
4197,농업회사법인(주)헬스앤라이프,8*********,2025-05-30,63.09,C+,N,회원
4196,(주)유리코스,2*********,2025-05-28,64.36,C+,N,회원
4195,나우산업,1*********,2025-05-27,51.84,D,Y,회원
4194,주식회사 에이플러스테크,7*********,2025-05-24,55.01,C-,N,회원
4193,대한무역투자진흥공사,1*********,2025-05-22,74.81,B+,N,회원
4192,(주)에스엔이바이오,1*********,2025-05-22,78.61,A0,N,회원
4191,(주)시크릿키,2*********,2025-05-21,80.86,A0,N,회원
4190,(주)닥터다이어리,8*********,2025-05-21,72.84,B+,N,회원
4189,삼우기초기술,1*********,2025-05-21,73.8,B+,N,회원
4188,(주)로보로보,1*********,2025-05-21,77.86,A-,N,회원
4187,모비데이즈,8*********,2025-05-21,77.61,A-,N,회원
4186,(주)휴럼,4*********,2025-05-21,78.09,A0,Y,회원
4185,성풍솔레드(주),6*********,2025-05-21,76.05,A-,N,회원
4184,(주) 비주얼리서치,1*********,2025-05-21,72.16,B+,N,회원
4183,(주)루토닉스,2*********,2025-05-21,89.91,A+,N,회원
4182,(주)유엠아이옵틱스,5*********,2025-05-21,63.72,C+,Y,회원
4181,(주)제이앤에스트레이딩,2*********,2025-05-21,53.61,D,N,회원
4180,(주)이지차저,3*********,2025-05-21,51.26,D,N,회원
4179,(주)빅픽처코퍼레이션,5*********,2025-05-21,58.56,C0,N,회원
4178,어딩,5*********,2025-05-21,61.28,C0,N,회원
4177,(주)이인벤션,1*********,2025-05-21,72.99,B+,Y,회원
4176,성도하이텍(주),6*********,2025-05-21,49.78,D,Y,회원
4175,(주)브이벨,8*********,2025-05-20,78.38,A0,N,회원
4174,일진제강(주),1*********,2025-05-20,57.76,C-,Y,회원
4173,(주)릴리커버,6*********,2025-05-20,75.64,A-,Y,회원
4172,(주)그랑스튜디오,6*********,2025-05-20,55.89,C-,N,회원
4171,(주)이인벤션,1*********,2025-05-20,60.67,C0,Y,회원
4170,(주)아크릴,2*********,2025-05-20,68.9,B0,Y,회원
4169,(주)현진씨엔티,1*********,2025-05-20,79.26,A0,N,회원
4168,(주)알에이치앤비브랜즈,2*********,2025-05-20,84.45,A+,N,회원
4167,(주)시스메이트,1*********,2025-05-20,61.67,C0,N,회원
4166,둠둠(주),5*********,2025-05-19,54.13,D,N,회원
4165,여유협동조합,6*********,2025-05-19,50.56,D,N,회원
4164,(주)삼대전기,1*********,2025-05-16,61.18,C0,N,회원
4163,주식회사 슬링,3*********,2025-05-15,61.87,C0,N,회원
4162,주식회사 슬링,3*********,2025-05-15,59.78,C0,N,회원
4161,(주)미네르바에듀,2*********,2025-05-15,53.46,D,N,회원
4160,(주)자몽컴퍼니,8*********,2025-05-15,58.56,C0,Y,회원
4159,옥화식품,1*********,2025-05-14,53.99,D,N,회원
4158,(주)미광,5*********,2025-05-13,48.06,D,N,회원
4157,세모전자,1*********,2025-05-12,46.16,D,N,회원
4156,(주)매쓰마스터,3*********,2025-05-09,68.37,B0,N,회원
4155,(주)아고라스,6*********,2025-05-09,78.1,A0,N,회원
4154,(주)케이디랩,2*********,2025-05-09,68.86,B0,N,회원
4153,비에스로얄,7*********,2025-05-09,53.68,D,N,회원
4152,튤립,8*********,2025-05-05,55.31,C-,Y,회원
4151,(주)에스아이시스템즈,1*********,2025-05-04,55.76,C-,N,회원
4150,(주)에스비안전,4*********,2025-04-30,76.72,A-,Y,회원
4149,주식회사 엠엘디홀딩스,1*********,2025-04-29,52.94,D,Y,회원
4148,(주)다우기업,1*********,2025-04-28,60.67,C0,N,회원
4147,주식회사 예예컴퍼니,6*********,2025-04-28,64.72,C+,N,회원
4146,(주)엔핌,5*********,2025-04-26,56.91,C-,N,회원
4145,(주)이브이레이저,1*********,2025-04-25,75.38,A-,N,회원
4144,(주)이텍,4*********,2025-04-25,57.74,C-,N,회원
4143,그리니,4*********,2025-04-24,78.39,A0,N,회원
4142,(주)네이처소프트,4*********,2025-04-24,63.11,C+,N,회원
4141,(주)샤인코리아,7*********,2025-04-23,70.71,B0,N,회원
4140,(주)누리나루,5*********,2025-04-23,72.51,B+,N,회원
4139,빅드림팩토리,4*********,2025-04-22,46.9,D,N,회원
4138,(주)티앤지,4*********,2025-04-22,49.44,D,N,회원
4137,주식회사 코르크로,4*********,2025-04-22,56.1,C-,N,회원
4136,주식회사현대자동화기계,3*********,2025-04-21,78.44,A0,Y,회원
4135,(주)문문,2*********,2025-04-21,56.66,C-,N,회원
4134,(유)신우에스엔에프,4*********,2025-04-21,58.44,C0,N,회원
4133,비엔컴퍼니,3*********,2025-04-18,44.72,D,N,회원
4132,(주)파인토르테,1*********,2025-04-18,80.08,A0,N,회원
4131,푸드렐라(주),3*********,2025-04-18,74.7,B+,N,회원
4130,건강연구소,2*********,2025-04-18,56.98,C-,N,회원
4129,주식회사 리채,6*********,2025-04-18,66.36,B-,N,회원
4128,맑은에어텍 주식회사,1*********,2025-04-18,48.44,D,N,회원
4127,주식회사 오리지널비어컴퍼니,7*********,2025-04-18,54.82,D,Y,회원
4126,투토리,1*********,2025-04-18,63.84,C+,N,회원
4125,(주)콜드팜,2*********,2025-04-18,61.56,C0,Y,회원
4124,이츠독,2*********,2025-04-18,86.81,A+,Y,회원
4123,(주)애디팬더,2*********,2025-04-18,77.39,A-,Y,회원
4122,오롬 주식회사,2*********,2025-04-18,79.73,A0,N,회원
4121,(주)에이제이에프에프,6*********,2025-04-18,48.58,D,N,회원
4120,주식회사 풍년에프씨,4*********,2025-04-18,77.33,A-,N,회원
4119,후즈스튜디오,2*********,2025-04-18,59.39,C0,N,회원
4118,에스제이나노텍(주),3*********,2025-04-18,70.75,B0,N,회원
4117,서진하이테크(주),3*********,2025-04-18,48.47,D,N,회원
4116,다움,2*********,2025-04-18,71.32,B0,Y,회원
4115,(주)베몽컴퍼니,7*********,2025-04-18,81.15,A0,N,회원
4114,알파,1*********,2025-04-18,63.53,C+,N,회원
4113,제이앤디컴퍼니,2*********,2025-04-18,49.47,D,N,회원
4112,(주)필코리아,7*********,2025-04-18,57.96,C-,Y,회원
4111,(주)동서산업,4*********,2025-04-18,64.86,C+,Y,회원
4110,(주)가인,8*********,2025-04-18,88.47,A+,N,회원
4109,(주)큐원,1*********,2025-04-18,78.85,A0,N,회원
4108,체리픽,6*********,2025-04-18,46.16,D,N,회원
4107,(주)제라,4*********,2025-04-18,63.37,C+,N,회원
4106,주식회사 풍년에프씨,4*********,2025-04-18,68.03,B0,N,회원
4105,세진산업,1*********,2025-04-18,63.46,C+,Y,회원
4104,(주)본플렉스,4*********,2025-04-18,68.65,B0,Y,회원
4103,스콜라스(주),2*********,2025-04-18,61.35,C0,N,회원
4102,브이원 제작소,5*********,2025-04-18,58.85,C0,Y,회원
4101,(주)나무숨,1*********,2025-04-18,61.42,C0,N,회원
4100,주식회사 에젤,4*********,2025-04-18,60.1,C0,Y,회원
4099,제이케이엠티알,4*********,2025-04-18,60.46,C0,N,회원
4098,(주)유니씨글로벌,1*********,2025-04-17,50.76,D,Y,회원
4097,꽃피우는시간,5*********,2025-04-17,58.96,C0,Y,회원
4096,디자인FIT,3*********,2025-04-17,53.8,D,N,회원
4095,(주)트루씰,3*********,2025-04-17,61.64,C0,N,회원
4094,(주)카텍에이치,5*********,2025-04-17,65.21,B-,N,회원
4093,라이드 주식회사,8*********,2025-04-17,63.06,C+,N,회원
4092,에이치와이씨팅,2*********,2025-04-17,55.17,C-,Y,회원
4091,주식회사 티엔드,2*********,2025-04-17,59.49,C0,N,회원
4090,스토리화,2*********,2025-04-17,64.47,C+,Y,회원
4089,(주)지디엠,1*********,2025-04-17,60.34,C0,N,회원
4088,주식회사 하이톡,8*********,2025-04-17,54.66,D,N,회원
4087,(주)제이에스이앤지,8*********,2025-04-17,61.45,C0,N,회원
4086,(주)메이베나,7*********,2025-04-17,64.48,C+,N,회원
4085,(주)아이코닉스,6*********,2025-04-17,62.49,C+,Y,회원
4084,(주)씨아이티,3*********,2025-04-17,68.29,B0,N,회원
4083,(주)케이바이오헬스케어,5*********,2025-04-17,67.85,B-,Y,회원
4082,드림테크,1*********,2025-04-16,73.53,B+,N,회원
4081,(주)낙천,2*********,2025-04-16,67.65,B-,N,회원
4080,도움(주),5*********,2025-04-16,65.96,B-,N,회원
4079,(주)파인셈,8*********,2025-04-16,64.47,C+,Y,회원
4078,에이팀 유니언 주식회사,6*********,2025-04-16,40.14,D,N,회원
4077,청사초롱,5*********,2025-04-16,70.27,B0,N,회원
4076,(주)그린빌,5*********,2025-04-16,76.63,A-,N,회원
4075,산마을영농조합법인,4*********,2025-04-16,54.37,D,Y,회원
4074,파스코이엔지(주),6*********,2025-04-16,62.52,C+,N,회원
4073,(주)커피도슨트,8*********,2025-04-16,63.26,C+,N,회원
4072,한국적외선개발원,5*********,2025-04-16,64.29,C+,N,회원
4071,엠제이 네트웍스,1*********,2025-04-16,68.26,B0,N,회원
4070,탑무역,4*********,2025-04-16,48.56,D,Y,회원
4069,로아블랑(주),4*********,2025-04-16,63.3,C+,N,회원
4068,(주)다름인터내셔널,2*********,2025-04-16,70.64,B0,N,회원
4067,주식회사 이니그마셰이드,1*********,2025-04-15,69.81,B0,Y,회원
4066,엘브이엠엔 주식회사,1*********,2025-04-15,84.91,A+,Y,회원
4065,하성e-sis,1*********,2025-04-15,68.71,B0,N,회원
4064,뷰티인사이드,7*********,2025-04-15,76.03,A-,N,회원
4063,(주)티브라더스,6*********,2025-04-15,66.73,B-,Y,회원
4062,(주) 대중,5*********,2025-04-15,54.3,D,Y,회원
4061,엘앤케이인터내셔널,2*********,2025-04-15,52.85,D,N,회원
4060,비제이인터네셔널,2*********,2025-04-15,61.63,C0,Y,회원
4059,(주)태승뷰티산업,6*********,2025-04-15,45.76,D,Y,회원
4058,(주)브레인테크,1*********,2025-04-15,72.58,B+,N,회원
4057,(주)뷰티라이즈,8*********,2025-04-15,53.57,D,Y,회원
4056,코코지오,5*********,2025-04-15,67.48,B-,Y,회원
4055,(주)리부트라이프,8*********,2025-04-15,59.76,C0,N,회원
4054,(주)바이오스페로,5*********,2025-04-15,70.87,B0,N,회원
4053,유한회사 시선,1*********,2025-04-15,47.17,D,N,회원
4052,(주)카나프,6*********,2025-04-15,55.43,C-,N,회원
4051,(주)비바글로벌,6*********,2025-04-15,74.39,B+,Y,회원
4050,(주)에프지뷰티,2*********,2025-04-15,70.19,B0,N,회원
4049,리브랩스 주식회사,2*********,2025-04-15,81.03,A0,Y,회원
4048,스탠드팩,1*********,2025-04-15,63.11,C+,Y,회원
4047,(주)지코스,3*********,2025-04-15,67.56,B-,Y,회원
4046,이지,8*********,2025-04-15,50.25,D,N,회원
4045,(주)리틀캣,7*********,2025-04-15,64.87,C+,Y,회원
4044,수 인터네셔널,6*********,2025-04-15,60.46,C0,Y,회원
4043,에코디엠랩주식회사,3*********,2025-04-15,60.09,C0,N,회원
4042,수아텍스,1*********,2025-04-15,59.32,C0,N,회원
4041,대성,5*********,2025-04-15,63.46,C+,Y,회원
4040,온핏 컴퍼니,1*********,2025-04-14,56.91,C-,N,회원
4039,파마코푸드 주식회사,3*********,2025-04-14,75.55,A-,Y,회원
4038,(주)미셀코리아랩,2*********,2025-04-14,75.24,A-,N,회원
4037,(주)바이오메듀스,2*********,2025-04-14,64.55,C+,Y,회원
4036,(주)그랜드침대,1*********,2025-04-14,57.3,C-,N,회원
4035,스마일서울,3*********,2025-04-12,51.96,D,Y,회원
4034,무아행,1*********,2025-04-11,66.13,B-,Y,회원
4033,오앤유,1*********,2025-04-11,43.28,D,N,회원
4032,(주)수경,6*********,2025-04-10,64.13,C+,N,회원
4031,(주)디아크컴퍼니,6*********,2025-04-10,60.11,C0,N,회원
4030,(주)뷰티풀스마일,5*********,2025-04-10,83.74,A+,Y,회원
4029,핑커벨,1*********,2025-04-10,48.48,D,N,회원
4028,헬스호라이즌,5*********,2025-04-09,71.74,B0,N,회원
4027,주식회사 로맨틱로보틱스,5*********,2025-04-09,30.1,D,N,회원
4026,(주)보체,5*********,2025-04-09,51.27,D,Y,회원
4025,(주)아일랜드,1*********,2025-04-09,66.06,B-,N,회원
4024,(주)케이에스디어패럴,5*********,2025-04-09,65.83,B-,Y,회원
4023,주식회사 지트렌드,6*********,2025-04-09,70.38,B0,N,회원
4022,(주)케이피씨엠,5*********,2025-04-09,80.18,A0,N,회원
4021,닥터비랩,7*********,2025-04-09,63.57,C+,N,회원
4020,(주)보트르내일,1*********,2025-04-08,69.11,B0,N,회원
4019,서형바이클랙(주),1*********,2025-04-08,64.22,C+,N,회원
4018,(주)홈앤살롱,2*********,2025-04-08,76.81,A-,Y,회원
4017,일산비상주사무실회의공간원룸,1*********,2025-04-08,41.62,D,N,회원
4016,보광산자(주),5*********,2025-04-08,58.05,C0,Y,회원
4015,(주)아쿠아웍스,5*********,2025-04-08,65.35,B-,N,회원
4014,더스타앤코,2*********,2025-04-08,71.59,B0,Y,회원
4013,코리아디지탈(주),1*********,2025-04-07,85.72,A+,N,회원
4012,디에스워터,1*********,2025-04-07,59.77,C0,N,회원
4011,(주)대성아이앤티,5*********,2025-04-07,53.99,D,N,회원
4010,디에스워터,1*********,2025-04-07,49.75,D,N,회원
4009,두산하이텍(주),7*********,2025-04-07,50.37,D,N,회원
4008,스튜디오 나봄,1*********,2025-04-07,45.58,D,Y,회원
4007,(주)미라클레어,7*********,2025-04-07,76.19,A-,N,회원
4006,정인테크,5*********,2025-04-07,44.9,D,Y,회원
4005,(주)네이처렌,1*********,2025-04-07,62.58,C+,Y,회원
4004,(주)갈렙건설,4*********,2025-04-07,38.07,D,N,회원
4003,주식회사 트레독스,6*********,2025-04-07,63.38,C+,N,회원
4002,비비에이치,8*********,2025-04-05,68.04,B0,Y,회원
4001,그린상사,6*********,2025-04-04,50.4,D,N,회원
4000,주식회사 보니카,2*********,2025-04-04,60.1,C0,N,회원
3999,(주)시너지아웃컴,5*********,2025-04-04,71.71,B0,Y,회원
3998,(주)메디치소프트,4*********,2025-04-04,83.08,A+,Y,회원
3997,(주)케이와이,5*********,2025-04-04,62.65,C+,Y,회원
3996,(주)피더블유인터내셔널,3*********,2025-04-04,63.45,C+,Y,회원
3995,주식회사 와이디자인랩,7*********,2025-04-04,58.73,C0,Y,회원
3994,(주)뷰티프렌즈,7*********,2025-04-04,63.97,C+,Y,회원
3993,(주)바이비카,8*********,2025-04-04,64.06,C+,Y,회원
3992,농업회사법인 뜰아래 주식회사,4*********,2025-04-04,48.5,D,N,회원
3991,아이비앤에이치,2*********,2025-04-04,74.58,B+,Y,회원
3990,(주)에이디피,6*********,2025-04-04,62.74,C+,N,회원
3989,별아래,8*********,2025-04-04,50.57,D,N,회원
3988,주식회사 디메이트컴퍼니,1*********,2025-04-04,49.19,D,N,회원
3987,주식회사 오더커스텀,4*********,2025-04-04,59.67,C0,N,회원
3986,디자인오드,5*********,2025-04-04,58.72,C0,N,회원
3985,(주)컨플,5*********,2025-04-04,50.81,D,N,회원
3984,(유)삼원섬유,4*********,2025-04-04,55.38,C-,N,회원
3983,(주)이모아,5*********,2025-04-04,62.15,C+,N,회원
3982,(주)우리웰,7*********,2025-04-04,68.77,B0,Y,회원
3981,이제이,1*********,2025-04-04,52.29,D,Y,회원
3980,(주)마이크로버,7*********,2025-04-04,47.9,D,Y,회원
3979,주식회사 베러코웍스,6*********,2025-04-04,41.27,D,N,회원
3978,툴립,8*********,2025-04-04,60.69,C0,Y,회원
3977,(주)한국소방공사,6*********,2025-04-04,51.77,D,N,회원
3976,아이나드코스메틱,1*********,2025-04-04,70.58,B0,N,회원
3975,레테르니타,5*********,2025-04-04,47.06,D,Y,회원
3974,해맑은수산,5*********,2025-04-04,56.73,C-,N,회원
3973,(주)빅웨이브쓰리,7*********,2025-04-04,72.2,B+,N,회원
3972,서울엔터프라이즈글로벌,1*********,2025-04-04,79.77,A0,N,회원
3971,아롤렉트,2*********,2025-04-04,51.24,D,Y,회원
3970,지니창고,4*********,2025-04-04,34.54,D,N,회원
3969,예찬식품,6*********,2025-04-04,71.6,B0,N,회원
3968,(주)렌즈랑,6*********,2025-04-04,56.76,C-,N,회원
3967,골든치타,3*********,2025-04-04,68.93,B0,N,회원
3966,오이지컴퍼니,4*********,2025-04-04,65.4,B-,N,회원
3965,프레시헬스,1*********,2025-04-04,52,D,N,회원
3964,신일섬유(주),6*********,2025-04-04,64.83,C+,N,회원
3963,(주)왓콘,4*********,2025-04-04,53.06,D,N,회원
3962,라이썸,8*********,2025-04-04,65.35,B-,Y,회원
3961,포레스트문,7*********,2025-04-04,49.16,D,Y,회원
3960,새롬마그네틱,1*********,2025-04-04,41.13,D,N,회원
3959,(주)휴컴와이어리스,7*********,2025-04-04,51.18,D,N,회원
3958,코아시스,1*********,2025-04-04,44.14,D,N,회원
3957,코어스,1*********,2025-04-04,62.02,C+,Y,회원
3956,한산소곡주명인농업회사법인(주),2*********,2025-04-04,37.76,D,N,회원
3955,운도소물류,3*********,2025-04-04,57.68,C-,N,회원
3954,(주)웨어컴퍼니,4*********,2025-04-04,57.72,C-,N,회원
3953,라온비즈컴(주),3*********,2025-04-04,48.68,D,N,회원
3952,두고인터내셔널(주),2*********,2025-04-04,58.82,C0,N,회원
3951,라비리체,8*********,2025-04-04,59.55,C0,N,회원
3950,선물마루,7*********,2025-04-04,54.5,D,N,회원
3949,(주)사천그리다,4*********,2025-04-04,56.44,C-,Y,회원
3948,한국해독과학연구소,1*********,2025-04-04,73.73,B+,Y,회원
3947,(주)에스씨알,1*********,2025-04-04,47.33,D,N,회원
3946,(주)오동통상사,5*********,2025-04-04,50.26,D,Y,회원
3945,한국해독과학연구소,1*********,2025-04-04,71.67,B0,N,회원
3944,농업회사법인 다혜 주식회사,2*********,2025-04-04,58.03,C0,N,회원
3943,(주)에프앤티,3*********,2025-04-04,52.35,D,N,회원
3942,선진기업(주),6*********,2025-04-04,63.39,C+,N,회원
3941,(주)상진,1*********,2025-04-04,50.97,D,N,회원
3940,코코스(주),4*********,2025-04-04,48.66,D,Y,회원
3939,이든코리아(Eden Korea),2*********,2025-04-03,68.52,B0,N,회원
3938,밋앤베지,4*********,2025-04-03,51.07,D,Y,회원
3937,손가원젓갈,5*********,2025-04-03,81.15,A0,Y,회원
3936,올바른쇼핑,5*********,2025-04-03,60.22,C0,N,회원
3935,티나힐 주식회사,1*********,2025-04-03,70.8,B0,Y,회원
3934,지구컴퍼니,3*********,2025-04-03,56.14,C-,N,회원
3933,농업회사법인연꽃정원(유),3*********,2025-04-03,77.84,A-,N,회원
3932,주식회사 에코랜드솔루션,8*********,2025-04-03,61.19,C0,Y,회원
3931,동원농자재,1*********,2025-04-03,56.06,C-,Y,회원
3930,주식회사 아이셀메디텍,7*********,2025-04-03,74.53,B+,N,회원
3929,주식회사 스틸브로,3*********,2025-04-03,61.69,C0,Y,회원
3928,농업회사법인자이안트팜농장(유),8*********,2025-04-03,81.25,A0,N,회원
3927,엔에스에이비,3*********,2025-04-03,76.86,A-,Y,회원
3926,라비룩스,2*********,2025-04-03,69.5,B0,Y,회원
3925,(주)듀랑고,2*********,2025-04-03,60.54,C0,N,회원
3924,주식회사 비비드랩,7*********,2025-04-03,63.06,C+,N,회원
3923,대한무역투자진흥공사,1*********,2025-04-03,88.8,A+,N,회원
3922,오스,4*********,2025-04-03,56.9,C-,N,회원
3921,덕원기업,1*********,2025-04-03,74.22,B+,N,회원
3920,비지테리언,1*********,2025-04-03,53.43,D,Y,회원
3919,대성섬유트랜스(주),2*********,2025-04-03,51.25,D,N,회원
3918,맥스컴퍼니,8*********,2025-04-03,40.71,D,N,회원
3917,(주)맘메이크,8*********,2025-04-03,59.48,C0,N,회원
3916,(주)순하늘홍삼,1*********,2025-04-03,52.99,D,N,회원
3915,페티그램,1*********,2025-04-03,56.42,C-,N,회원
3914,툴존,2*********,2025-04-03,56.91,C-,Y,회원
3913,청애원,7*********,2025-04-03,68.86,B0,N,회원
3912,삼성디지컴(주),3*********,2025-04-03,50.73,D,Y,회원
3911,(주)미스터밀크,2*********,2025-04-03,39.32,D,N,회원
3910,(주)어거스트랩,5*********,2025-04-03,70.11,B0,N,회원
3909,오월애봄(오월愛봄),8*********,2025-04-03,75.84,A-,N,회원
3908,(주)세라종합건설,1*********,2025-04-03,48.58,D,N,회원
3907,카리테스,3*********,2025-04-03,59.36,C0,N,회원
3906,덕신화학(주),1*********,2025-04-03,58.34,C0,N,회원
3905,(주)인성네일뷰티,1*********,2025-04-03,49.33,D,N,회원
3904,(주)르,1*********,2025-04-03,41.73,D,N,회원
3903,(주)나인콥,5*********,2025-04-03,47.36,D,N,회원
3902,(주)제주오름젓갈,5*********,2025-04-03,44.01,D,Y,회원
3901,미라클스코프(주),1*********,2025-04-03,60.62,C0,N,회원
3900,석로다원,6*********,2025-04-03,61.66,C0,N,회원
3899,바젠,6*********,2025-04-03,75.38,A-,N,회원
3898,(주)휴먼인텍,1*********,2025-04-03,56.39,C-,Y,회원
3897,그린패치,5*********,2025-04-03,60.82,C0,N,회원
3896,윈테크지앤에스(주),6*********,2025-04-03,36.33,D,N,회원
3895,피앤알,2*********,2025-04-03,58.39,C0,Y,회원
3894,오도라타(주),1*********,2025-04-03,69.68,B0,Y,회원
3893,예은화장품(주),2*********,2025-04-03,44.88,D,N,회원
3892,엔스타,3*********,2025-04-03,51.8,D,Y,회원
3891,또도마켓,6*********,2025-04-03,54.34,D,N,회원
3890,(주)인테그로,6*********,2025-04-03,79.42,A0,N,회원
3889,대풍수산,3*********,2025-04-03,58.36,C0,N,회원
3888,(주)한진이앤지,5*********,2025-04-03,52.35,D,Y,회원
3887,온누리HC,2*********,2025-04-03,47.38,D,Y,회원
3886,(주)오굿,5*********,2025-04-03,50.69,D,N,회원
3885,한국동물무역법인,4*********,2025-04-03,74.35,B+,Y,회원
3884,(주)푸드서플라이,2*********,2025-04-03,57.78,C-,N,회원
3883,(주)코넷글로벌,8*********,2025-04-03,74.48,B+,Y,회원
3882,주식회사 쏠라원,4*********,2025-04-03,45.81,D,N,회원
3881,씨에스세론,7*********,2025-04-03,45.04,D,N,회원
3880,천국장,7*********,2025-04-03,58.61,C0,Y,회원
3879,(주)피스하나,5*********,2025-04-03,58.98,C0,N,회원
